City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cidreira,BR,-30.1811,-50.2056,58.41,90,2,9.1,clear sky
1,Arraial Do Cabo,BR,-22.9661,-42.0278,68.11,71,0,11.03,clear sky
2,Skorodnoye,RU,51.071,37.2276,57.33,65,72,8.81,broken clouds
3,Sitka,US,57.0531,-135.33,57.09,94,100,6.91,light rain
4,Sokolo,ML,14.7328,-6.1219,85.35,51,11,9.24,few clouds
5,Bluff,NZ,-46.6,168.3333,51.8,74,100,16.87,overcast clouds
6,Chumikan,RU,54.7183,135.315,54.09,98,100,7.47,light rain
7,Doha,QA,25.2867,51.5333,93.18,68,0,6.91,clear sky
8,Salalah,OM,17.0151,54.0924,77.09,88,75,9.22,broken clouds
9,Rikitea,PF,-23.1203,-134.9692,72.1,74,100,24.45,light rain
10,Atherton,GB,53.5237,-2.4935,54.95,90,100,1.77,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,37.06,93,40,5.75,scattered clouds
12,Hamilton,US,39.1834,-84.5333,73.49,85,0,6.91,clear sky
13,Nikolskoye,RU,59.7035,30.7861,57.79,83,100,4.41,overcast clouds
14,New Norfolk,AU,-42.7826,147.0587,53.92,78,54,4.0,broken clouds
15,Jamestown,US,42.097,-79.2353,71.24,73,0,0.0,clear sky
16,Cherskiy,RU,68.75,161.3,72.23,33,77,17.6,broken clouds
17,Tasiilaq,GL,65.6145,-37.6368,41.16,51,26,4.07,scattered clouds
18,Victoria,HK,22.2855,114.1577,92.25,72,90,1.99,overcast clouds
19,Castro,BR,-24.7911,-50.0119,52.0,79,0,2.24,clear sky
20,Lorengau,PG,-2.0226,147.2712,84.65,72,99,11.5,overcast clouds
21,Liepaja,LV,56.5419,21.0367,60.78,82,100,3.44,overcast clouds
22,Thompson,CA,55.7435,-97.8558,57.36,94,75,2.3,broken clouds
23,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,75,11.5,broken clouds
24,Vaini,TO,-21.2,-175.2,80.76,94,75,6.91,broken clouds
25,Nanesti,RO,45.55,27.5,64.17,90,42,2.55,scattered clouds
26,Denizli,TR,37.8402,29.0698,72.91,63,0,3.89,clear sky
27,Bonavista,CA,48.6499,-53.1147,63.36,80,94,8.21,overcast clouds
